#{"t_start": 1656657338.3090067, "env_id": "uav-v1"}
r,l,t
-670756.501102,600,16.555787
-500081.808108,600,33.025805
-423733.184974,600,49.531391
-237886.106263,600,76.157796
-275367.14076,600,92.734125
-108712.820526,600,121.695779
-204329.528216,600,148.342624
121367.691624,600,164.9089
6409.885658,600,181.451627
137663.055091,600,198.029141
159636.949575,600,237.062899
160122.295174,600,253.578873
160657.961788,600,270.144405
1951.270992,600,296.782227
204285.736245,600,313.33005
227608.379692,600,342.278617
223289.51668,600,358.874243
290561.09832,600,385.580247
308848.188152,600,402.134671
304851.69924,600,418.71024
334101.36839,600,457.754365
366692.77151,600,474.303188
377001.700178,600,490.843809
407571.386197,600,517.506261
410191.88787,600,534.061025
490101.619396,600,550.614484
471901.368781,600,579.545077
499359.401123,600,606.284015
497901.783224,600,622.823689
526501.803249,600,639.364194
490121.437392,600,666.189795
560952.027693,600,695.098867
609051.435284,600,711.614604
601452.729793,600,728.139999
689001.627866,600,754.961987
663856.644143,600,771.489782
655309.095095,600,800.391756
712401.289795,600,827.27384
730610.321489,600,843.853879
744901.379916,600,860.38866
768951.12819,600,887.437511
870351.241138,600,916.442855
778051.251558,600,932.956746
852151.463958,600,949.457568
857351.689439,600,976.463883
829401.391989,600,992.981301
823569.70595,600,1021.831915
854101.470111,600,1048.86704
884651.146551,600,1065.433576
922356.630726,600,1081.999709
796453.805322,600,1098.544564
942501.630121,600,1125.360051
919752.013226,600,1154.271172
927618.460601,600,1170.775081
918451.915267,600,1197.591483
889851.540017,600,1214.088954
967851.386668,600,1230.584388
973051.19444,600,1259.441853
928851.610384,600,1286.340245
976951.134351,600,1302.839591
1012051.478308,600,1319.354795
988674.89534,600,1346.402708
989301.653656,600,1375.265076
986701.76512,600,1391.748597
984101.325203,600,1418.768685
1012714.637886,600,1435.302543
1031551.677297,600,1451.82097
1027001.433612,600,1480.679202
1025051.685865,600,1507.948477
1021801.295622,600,1524.500073
1030251.752129,600,1541.051207
1047151.213439,600,1568.242992
1032851.678227,600,1597.163565
1060815.111054,600,1613.662919
1012051.376919,600,1630.190719
1036101.302129,600,1657.22019
1067301.351491,600,1673.723468
1045851.158464,600,1690.221517
1024401.35501,600,1729.81583
1064051.646271,600,1746.354561
1039351.554292,600,1762.895
1072501.253486,600,1790.210851
1054950.992087,600,1806.772717
1063401.524054,600,1835.63808
