#{"t_start": 1656657338.3030887, "env_id": "uav-v1"}
r,l,t
-451036.23066,600,17.909739
-372940.865254,600,34.452135
-689694.39218,600,50.992459
-301104.53613,600,78.397325
-563681.684647,600,95.010815
-250929.876059,600,124.07664
-44466.621495,600,150.934418
-281814.842323,600,167.608427
-103606.992846,600,184.362617
-324849.187466,600,201.153033
127549.512999,600,240.679623
33820.962949,600,257.406642
40561.156687,600,274.114382
13803.016525,600,301.12648
171742.057235,600,317.86673
177347.5229,600,347.108369
233242.909379,600,363.895466
298605.207042,600,390.953572
270512.811953,600,407.724698
293612.180373,600,424.553601
264163.715272,600,464.774909
385615.369162,600,481.82497
356850.504818,600,498.558479
344117.690068,600,525.513654
394805.71882,600,542.198569
490803.302796,600,558.879631
468053.305565,600,588.029782
482950.408951,600,615.000606
534337.400619,600,631.751263
544067.839288,600,648.471135
554567.409914,600,675.453809
598118.739802,600,704.508273
567617.293427,600,721.081618
585059.081795,600,737.668535
601900.685232,600,764.425363
700753.975395,600,780.981869
662234.010488,600,809.984639
759937.511356,600,836.92982
714350.421741,600,853.575947
769600.497889,600,870.217589
695500.40242,600,897.109453
831350.551403,600,926.206733
809250.475987,600,942.766227
755677.543252,600,959.350342
863850.571343,600,986.151969
860662.893904,600,1002.721486
847600.501405,600,1031.748591
864500.455252,600,1058.603634
931450.554695,600,1075.224431
911950.410421,600,1091.856794
907400.584506,600,1108.504503
921793.873364,600,1135.350728
922350.476918,600,1164.357977
934050.460692,600,1180.930764
952250.463799,600,1207.822782
969942.223671,600,1224.380292
967850.631499,600,1240.891842
982800.55016,600,1269.874426
986050.55394,600,1297.050356
958750.530226,600,1313.675392
985400.474526,600,1330.329113
1012098.651393,600,1357.57868
1006850.46079,600,1386.611851
1006850.526657,600,1403.175487
1037436.671888,600,1430.394769
1027650.471531,600,1446.95514
1043250.442771,600,1463.519737
1021800.5836,600,1492.508856
1012131.666321,600,1519.768423
1030900.415639,600,1536.376964
1027650.522563,600,1553.031873
1051050.501895,600,1580.247379
1023750.563259,600,1609.303852
1051700.646056,600,1625.835122
1030307.761683,600,1642.416456
1040000.46389,600,1669.538696
1056250.487032,600,1686.072973
1020500.526495,600,1702.608925
1073150.580334,600,1742.239327
1058200.464212,600,1758.855102
1036100.555888,600,1775.494974
1053650.406152,600,1802.718526
1069900.49359,600,1819.356952
1075148.962285,600,1848.383968
1071200.469783,600,1864.953113
1064050.437983,600,1892.136942
1088100.514237,600,1908.688326
1069250.462258,600,1925.24369
1106300.473663,600,1964.524795
1095250.500755,600,1981.069188
1105000.552132,600,1997.537098
1077050.51002,600,2013.928975
1077050.503954,600,2040.439308
1099150.508324,600,2068.999877
1073800.482685,600,2085.340752
1092650.522474,600,2111.803419
1094623.204711,600,2128.120054
1095250.472467,600,2144.446234
1099800.460733,600,2183.130456
1086236.587423,600,2199.535042
1102400.774997,600,2215.963291
1099800.49782,600,2232.385489
1105650.481017,600,2258.930909
1105000.547384,600,2275.340446
1090700.428848,600,2303.88718
1095490.642978,600,2330.384518
1097850.543341,600,2346.697891
1095900.39083,600,2363.056501
1114100.53755,600,2379.415187
1123200.528653,600,2418.115783
1116700.564996,600,2434.531552
1109550.541714,600,2450.97726
1123850.601207,600,2477.517485
1105650.471374,600,2493.915588
1120600.498121,600,2522.511988
1112150.570905,600,2538.87686
1107600.506855,600,2565.349879
1119950.535604,600,2581.691989
1125150.450312,600,2598.062586
1122550.452616,600,2636.629848
1113450.453187,600,2653.040285
1135550.446373,600,2669.464317
1130388.526581,600,2696.032371
1120840.566198,600,2712.448794
1125800.506017,600,2728.874344
1110200.674534,600,2757.395592
1115400.510193,600,2784.001188
1116050.533648,600,2800.318285
1112150.420381,600,2816.657794
1106950.311509,600,2843.07155
1121250.549947,600,2871.624239
1120600.532846,600,2888.030443
1118650.666843,600,2904.448725
1134900.503567,600,2931.135663
1114100.702377,600,2947.553729
1133600.607415,600,2976.144882
1127100.510159,600,3002.849606
1126450.679945,600,3019.237628
1133600.53895,600,3035.574764
1130350.509125,600,3062.098939
1126450.443279,600,3090.648146
1123850.46874,600,3107.089664
1143350.444162,600,3123.531291
1133600.521278,600,3150.130599
1126450.494264,600,3166.562266
1131000.561753,600,3195.17872
1134250.672051,600,3221.718698
1138800.518195,600,3238.073124
1112800.356919,600,3254.423722
1130350.663825,600,3270.774298
1131000.544839,600,3297.491536
1145300.487101,600,3326.077109
1134900.502747,600,3342.509301
1138210.864491,600,3369.475893
1140750.434853,600,3386.009311
1137500.496166,600,3402.563477
1131650.507036,600,3431.383783
1136200.417487,600,3458.560632
1135550.571082,600,3475.057781
1127750.450335,600,3491.564718
1122550.657762,600,3518.461304
1128400.498422,600,3547.265799
1142758.642828,600,3563.84166
1126450.730571,600,3591.0015
1133600.444591,600,3607.566451
1136850.685024,600,3624.132474
1143350.480463,600,3653.014147
1136200.435357,600,3679.95932
1143350.438746,600,3696.454409
1123200.453161,600,3712.938569
1141566.639045,600,3740.050554
1138150.522319,600,3769.129726
1132300.549768,600,3785.679168
1135620.68445,600,3802.243847
1143350.586571,600,3829.425635
1143350.552547,600,3845.931695
1144650.661209,600,3862.482493
1144650.474881,600,3901.743474
1140750.448988,600,3918.258799
1131000.52137,600,3934.756616
1136850.581168,600,3961.535223
1136200.491364,600,3978.06318
1147250.560698,600,4006.936657
1138800.700726,600,4023.564074
1140166.369352,600,4050.565386
1142050.490897,600,4067.126309
1136200.5273,600,4083.692984
1140750.556886,600,4123.273643
1132950.429092,600,4139.854572
1138150.443868,600,4156.45037
1143350.523293,600,4173.015469
1146190.659745,600,4200.328326
1147250.635625,600,4229.476055
1140834.645256,600,4246.147288
1138150.57877,600,4273.504902
1144650.419137,600,4290.149668
1142700.518416,600,4306.830119
1142700.373102,600,4346.886958
1142114.823236,600,4363.4538
1145950.430318,600,4380.033519
1147900.578187,600,4396.614956
1145300.466851,600,4424.174977
1149200.520402,600,4440.773386
1146600.423554,600,4469.891611
1146600.626772,600,4497.538434
1143350.633711,600,4514.181753
1149200.629759,600,4530.84343
1148550.513362,600,4547.496875
1140100.47694,600,4587.722142
1147250.549452,600,4604.309303
1140100.371308,600,4620.877519
1144000.512636,600,4648.481571
1145950.566166,600,4665.060455
1142050.712809,600,4694.148032
1142771.086107,600,4710.807471
1140750.412467,600,4738.440667
1153750.496271,600,4755.080184
1141400.515292,600,4771.690204
1153100.460233,600,4811.886778
1144000.430507,600,4828.493844
1149200.443145,600,4845.092029
1154400.479908,600,4872.70372
1145950.4541,600,4889.28258
1144650.414612,600,4918.308265
1153100.473462,600,4934.942057
1140750.485804,600,4962.773247
1150500.510617,600,4979.43962
1140118.589521,600,4996.085947
1149850.492175,600,5023.795611
1149850.423228,600,5052.867835
1156350.456901,600,5069.424689
1148550.502831,600,5085.973711
1134250.541469,600,5113.589988
1147900.470142,600,5130.147753
1149850.659046,600,5159.3766
1146600.598665,600,5187.016924
1160900.493781,600,5203.678233
1150500.498119,600,5220.31258
1138800.385225,600,5247.385671
1141400.606606,600,5276.604197
1151800.614693,600,5293.193881
1151150.528409,600,5309.800989
1150500.429417,600,5336.985689
1143591.492651,600,5353.562735
1153100.459013,600,5382.655947
1140750.316294,600,5409.751888
1152450.511088,600,5426.412764
1158300.561445,600,5443.068126
1154400.549672,600,5459.720115
1158950.524956,600,5486.863408
1150500.543175,600,5515.999661
1161550.560973,600,5532.572324
1156350.454647,600,5559.525345
1154400.493451,600,5576.095454
1151150.519044,600,5592.689793
1154400.636844,600,5621.809902
1161550.457673,600,5649.0188
1155050.503409,600,5665.682264
1153100.466974,600,5682.318123
1155700.584993,600,5709.647887
1153750.432523,600,5738.773102
1156405.20547,600,5755.345777
1155050.503582,600,5782.626837
1157650.471401,600,5799.193411
1155700.595125,600,5815.743684
1153750.47386,600,5844.860471
1144650.611603,600,5872.398558
1147250.515593,600,5889.047678
1156350.500697,600,5905.682317
1158300.492919,600,5933.315597
1148550.483908,600,5962.493833
1148550.431208,600,5979.05893
1155050.510474,600,5995.622358
1148808.434021,600,6022.789749
1155700.692661,600,6039.371989
1156350.619579,600,6055.955589
1149850.492967,600,6095.530369
1155050.437306,600,6112.185458
1155050.531289,600,6128.835355
1159600.50227,600,6155.898829
1153992.519016,600,6172.576694
1157650.641615,600,6201.725257
1152509.790971,600,6218.28947
1155700.771213,600,6245.278621
1157000.506994,600,6261.842144
1158950.600647,600,6278.394641
1155700.466827,600,6318.072989
1159600.444896,600,6334.719365
1153100.519491,600,6351.381528
1157000.477424,600,6368.02722
1155700.552594,600,6395.430673
1150500.486139,600,6424.530807
1157650.540507,600,6441.123886
1160954.902122,600,6468.469509
1151800.547296,600,6485.050837
1154400.463964,600,6501.643318
1157650.494063,600,6541.208454
1160250.525774,600,6557.851577
1154400.432856,600,6574.469729
1156350.416668,600,6591.106906
1151800.521301,600,6618.585279
1149200.650866,600,6635.241678
1158300.475994,600,6664.354309
1162200.439419,600,6691.904375
1156350.561404,600,6708.486493
1160250.500504,600,6725.03952
1153100.449744,600,6741.613292
1160900.481172,600,6781.159894
1153750.558574,600,6797.835244
1162200.620363,600,6814.489524
