#{"t_start": 1656657078.396914, "env_id": "uav-v0"}
r,l,t
-748604.866248,600,17.084466
-157553.619345,600,33.430371
-232699.787398,600,49.771498
-765654.044861,600,76.68162
-348332.285895,600,93.125972
-42052.916138,600,121.870522
-735902.695149,600,148.590545
-177439.088338,600,165.044557
-510952.581772,600,181.511298
-529047.541839,600,198.018323
166625.02095,600,237.170834
-63372.109416,600,253.642779
-78001.101892,600,270.201396
309710.905474,600,297.181917
311747.722462,600,313.869704
248189.285069,600,343.172031
317741.62627,600,360.580135
317790.724224,600,387.71385
430430.684043,600,404.436
389589.241952,600,421.175846
444823.934372,600,460.753228
433792.4837,600,477.421691
530109.713101,600,494.132989
469442.950831,600,521.084777
570135.559762,600,537.803857
659315.407986,600,554.541018
622260.488953,600,583.773945
691608.873432,600,610.928379
755258.401909,600,627.652733
720128.848851,600,644.367268
839808.14966,600,671.384256
857872.484498,600,700.6062
797165.897875,600,717.310169
797058.980101,600,734.032376
991826.769625,600,760.960253
942409.942841,600,777.63968
944331.249156,600,806.926362
905361.137519,600,834.350078
1065000.753191,600,851.120955
1035509.486791,600,867.833117
917734.44658,600,894.774778
1064960.205264,600,924.05092
1166608.506317,600,940.743053
1116258.43301,600,957.409023
1136246.797231,600,984.374185
1197009.169227,600,1001.029914
1184675.4611,600,1030.262405
1187509.081803,600,1057.231108
1177058.419927,600,1073.93585
1224559.330428,600,1090.656755
1210310.791588,600,1107.338673
1222661.834865,600,1134.247721
1306257.313563,600,1163.467126
1292957.655264,600,1180.118728
1253061.387921,600,1207.069746
1284410.251103,600,1223.723088
1324309.615954,600,1240.377006
1361357.895168,600,1269.524402
1258024.145971,600,1296.485755
1344258.600063,600,1313.138724
1339508.577029,600,1329.868591
1429759.929003,600,1356.761887
1413609.008591,600,1385.983121
1388912.50899,600,1402.627221
1425009.226745,600,1429.520581
1380362.137017,600,1446.112895
1403159.25259,600,1462.675669
1377509.505229,600,1491.538851
1418360.133441,600,1517.915537
1455411.389412,600,1534.382579
1463009.341686,600,1550.859746
1449830.674218,600,1577.203494
1419310.834897,600,1606.056872
1472509.595577,600,1622.479719
1462058.096679,600,1638.90374
1497207.721061,600,1665.278704
1449025.66578,600,1681.695541
1477257.954646,600,1698.189532
1499108.706579,600,1737.234768
1457384.994934,600,1753.67764
1470612.220626,600,1770.118758
1485809.957572,600,1796.507667
1512409.549423,600,1812.981456
1526659.566958,600,1841.742019
1513360.19671,600,1858.163626
1517159.738147,600,1884.440694
1458260.092796,600,1900.837726
1507659.956937,600,1917.279515
1520958.313821,600,1955.945677
1553258.907964,600,1972.380363
1544711.515996,600,1988.861679
1531408.450566,600,2005.323561
1520009.649004,600,2031.714392
1524758.50802,600,2060.464643
1539009.881541,600,2076.86291
1542808.435222,600,2103.234571
1538060.644303,600,2119.717513
1525710.533304,600,2136.17052
1559910.560046,600,2175.032073
1525756.796902,600,2191.503647
1555158.507371,600,2207.954946
1558010.41313,600,2224.448885
1559910.993858,600,2250.77554
1558010.115819,600,2267.207557
1557061.319079,600,2295.984034
1581758.494614,600,2322.402082
1585559.058798,600,2338.867784
1574209.057132,600,2355.338508
