#{"t_start": 1656657078.394499, "env_id": "uav-v0"}
r,l,t
-608861.693734,600,17.236309
-303519.437809,600,33.745857
-717966.400738,600,50.245972
-315585.447652,600,77.370912
-81314.655885,600,93.931879
45737.476508,600,122.925552
22297.735775,600,149.987832
-478580.220952,600,166.517483
110920.891144,600,183.071874
-215581.356281,600,199.671273
80566.341774,600,239.376354
152566.385286,600,255.98902
117907.207576,600,272.747505
143590.460717,600,300.186821
76050.999197,600,316.994506
110002.966553,600,346.564144
272718.486043,600,364.115696
252259.009386,600,391.5777
277708.664013,600,408.415078
323738.856371,600,425.218247
324351.043241,600,465.280415
344158.750649,600,482.098248
416186.012123,600,498.914487
403871.561693,600,526.314257
469988.035351,600,543.179313
462478.000292,600,560.012664
435005.155627,600,589.578046
534301.076909,600,617.101836
477751.043942,600,633.91276
544700.897906,600,650.757206
574687.786027,600,677.776386
577201.212896,600,707.012935
599336.386497,600,723.603148
593451.165289,600,740.226278
664951.311341,600,766.895276
646100.860114,600,783.467518
690330.190002,600,812.50326
709801.288824,600,839.206599
759200.989926,600,855.823152
748800.850905,600,872.397952
765700.941898,600,899.004044
714243.541713,600,928.120032
793650.91319,600,944.698218
837850.941098,600,961.292336
832651.081441,600,987.945045
871001.149211,600,1004.543436
790436.757607,600,1033.607388
863201.223475,600,1060.289297
905519.04108,600,1076.869077
894401.628656,600,1093.443127
904801.222735,600,1110.018402
912601.476874,600,1136.697325
880101.274889,600,1165.79656
932751.031391,600,1182.343054
941201.065288,600,1209.038607
973051.193569,600,1225.61721
968501.13545,600,1242.191052
956151.140474,600,1271.249745
962650.968106,600,1297.98209
978250.797275,600,1314.578632
992551.030995,600,1331.156455
1002300.859175,600,1357.854728
1012050.955229,600,1386.928747
976950.995948,600,1403.533106
1029704.461919,600,1430.361167
1012051.240597,600,1446.952306
1010205.050508,600,1463.570306
1010750.940442,600,1492.609468
1035451.024303,600,1519.470296
1041300.972485,600,1536.043928
1049750.937742,600,1552.656926
1055601.167022,600,1579.407122
1002548.471509,600,1608.503402
1027000.971079,600,1625.042381
1062751.258412,600,1641.591086
1054950.989207,600,1668.366485
1056250.907238,600,1684.917341
1050401.185426,600,1701.458135
1069250.965514,600,1740.980305
1054950.728918,600,1757.517509
1060800.994175,600,1774.066083
1051701.006968,600,1800.849069
1063400.793693,600,1817.454943
1067951.051582,600,1846.479099
1069901.06422,600,1863.02717
1058201.438957,600,1889.754869
1067951.101075,600,1906.30217
1064700.983634,600,1922.871301
1088751.08852,600,1961.990357
1069491.410725,600,1978.563188
1088101.0188,600,1995.163726
1100451.021851,600,2011.736973
1091351.011544,600,2038.392128
1086150.978347,600,2067.378296
1070601.694656,600,2083.946427
1100450.854252,600,2110.704975
1082901.206656,600,2127.297338
1100451.207534,600,2143.882933
1108250.87636,600,2183.082302
1091350.929913,600,2199.637726
1093951.121542,600,2216.178189
1092000.972299,600,2232.744903
1101750.951118,600,2259.688188
1102499.467551,600,2276.235318
1097850.986018,600,2305.24219
1062750.711304,600,2331.856333
1092001.118646,600,2348.377602
1112150.922769,600,2364.922358
1093556.02825,600,2381.492697
1103051.201649,600,2420.602435
1127101.180163,600,2437.158232
1101751.097385,600,2453.80328
1112151.030247,600,2480.758122
1109550.89478,600,2497.32012
1116701.086697,600,2526.359418
1108901.007736,600,2542.916676
1111501.012562,600,2569.908128
1105000.789458,600,2586.457185
1098501.205383,600,2603.059019
1103701.021594,600,2642.512126
1089400.858375,600,2659.077772
1114750.903216,600,2675.641565
1115400.860492,600,2702.893328
1120665.441974,600,2719.478081
1121250.981636,600,2736.036166
1125151.126921,600,2765.092805
1136851.185257,600,2792.460582
1112150.898621,600,2809.004507
1118651.240379,600,2825.543376
1124500.899875,600,2852.939565
1126451.025426,600,2881.940943
1108900.950849,600,2898.56126
1121901.097825,600,2915.089084
1126589.871868,600,2942.256088
1121251.005993,600,2958.808345
1131001.033313,600,2987.880347
1131651.052456,600,3015.014962
1144650.983338,600,3031.550493
1128401.080485,600,3048.075025
1134901.066354,600,3075.097182
1121901.028973,600,3104.052907
1123851.092864,600,3120.629344
1118650.808735,600,3137.173324
1140100.955069,600,3164.266227
1131650.910769,600,3180.853488
1122551.188989,600,3209.906366
1119950.697077,600,3237.193959
1129701.663141,600,3253.754201
1129700.850052,600,3270.310678
1131651.180736,600,3286.852422
1125151.112869,600,3314.175206
1149201.16242,600,3343.153179
1144650.965802,600,3359.746705
1134250.949349,600,3387.139188
1134900.916667,600,3403.70309
1135550.994125,600,3420.302015
1142701.176329,600,3449.310928
1136201.211593,600,3476.170674
1135550.96447,600,3492.744055
1116941.046313,600,3509.298106
1129701.111703,600,3536.362238
1136201.325335,600,3565.333027
1142701.050499,600,3581.90126
1137500.934252,600,3609.088917
1155050.9996,600,3625.671229
1128472.474837,600,3642.260115
1118241.673973,600,3671.257269
1144001.083906,600,3698.395167
1144000.919969,600,3714.996118
1137501.280521,600,3731.550331
1142051.244403,600,3758.698469
1131650.930246,600,3787.694148
1136851.090511,600,3804.294447
1146600.912781,600,3820.879549
1131001.408179,600,3848.10126
1144000.863609,600,3864.701584
1131001.16914,600,3881.252202
1124500.954731,600,3920.672882
1128401.327537,600,3937.257079
1137501.237101,600,3953.843047
1147310.557187,600,3980.905371
1142291.10934,600,3997.490397
1149200.950569,600,4026.487573
1139450.990163,600,4043.082291
1141400.822855,600,4069.973382
1124500.941798,600,4086.593551
1147901.439884,600,4103.197367
1135551.07988,600,4142.759718
1147901.013809,600,4159.340122
