#{"t_start": 1656657078.39177, "env_id": "uav-v0"}
r,l,t
-470595.315208,600,17.307009
-208619.687509,600,33.909734
-150840.011268,600,50.508672
-348524.809935,600,77.670357
-20801.041651,600,94.325416
-666228.986157,600,123.482014
-256209.893828,600,150.59125
-751344.019466,600,167.252641
-22608.932009,600,183.932398
78098.285962,600,200.702835
-192581.222938,600,240.447136
-95040.976501,600,257.175239
-54759.065231,600,274.027963
259777.512615,600,301.454965
331195.107062,600,318.820627
68621.268258,600,348.616759
308035.985528,600,365.978015
212940.518877,600,393.488718
424755.625389,600,410.459636
470432.24508,600,427.414998
474060.70153,600,467.60571
526485.963615,600,484.53898
508525.167476,600,501.506942
544360.169603,600,528.92306
599485.4181,600,545.870982
564523.182171,600,562.804426
555758.336142,600,592.576471
685910.51467,600,620.09499
789658.505359,600,637.018115
729774.049779,600,654.043182
801352.930044,600,681.503157
866411.608944,600,711.226519
843720.883902,600,728.190965
843608.871973,600,745.164381
967110.886471,600,772.58239
950960.909263,600,789.576397
957741.029484,600,819.298268
1005197.557142,600,846.719792
984211.414401,600,863.661453
1077454.678826,600,880.617129
1084994.892458,600,907.95913
1149509.162598,600,937.624061
1116259.550658,600,954.541184
1155209.094124,600,971.475487
1132407.854642,600,998.847443
1191311.738285,600,1015.745262
1190546.3748,600,1045.439718
1240006.005892,600,1072.841231
1252107.283302,600,1089.761378
1299607.953,600,1106.652485
1180858.925495,600,1123.539208
1342361.473439,600,1150.956328
1299610.039756,600,1180.586196
1330008.671219,600,1197.514938
1296760.336447,600,1225.040021
1356799.376504,600,1241.939123
1311959.902347,600,1258.845395
1349960.151716,600,1288.467581
1374659.551102,600,1315.826046
1384159.677112,600,1332.647644
1375608.270231,600,1349.432151
1396508.939448,600,1376.236192
1407908.204982,600,1405.20903
1425156.26911,600,1421.746054
1363623.72368,600,1448.267236
1424061.522904,600,1464.844977
1432609.564069,600,1481.39789
1404107.891234,600,1510.443933
1406958.013695,600,1537.030743
1412659.547701,600,1553.599874
1430710.854072,600,1570.146899
1443057.754013,600,1596.713973
1478208.396911,600,1625.649175
1443057.415981,600,1642.189888
1441354.311481,600,1658.765108
1452558.866824,600,1685.37228
1436858.644726,600,1701.947645
1481117.98894,600,1718.483436
1532360.2739,600,1757.453071
1541861.635959,600,1773.949708
1502907.903533,600,1790.450759
1494358.213728,600,1817.14682
1534397.410947,600,1833.70681
1548507.050222,600,1862.629265
1517159.328376,600,1879.15811
1560860.80474,600,1905.787632
1535244.69526,600,1922.353007
1529510.316317,600,1938.890071
1510692.836894,600,1977.901677
1495358.032301,600,1994.501173
1516208.921629,600,2011.047839
1516208.880864,600,2027.616085
1578909.123977,600,2054.278271
1541109.309763,600,2083.259975
1563709.643993,600,2099.831143
1543757.878981,600,2126.572112
1575128.335431,600,2143.125844
1577012.38651,600,2159.854494
1559909.039623,600,2199.972913
1575254.621602,600,2216.498791
1590309.298749,600,2233.039748
1584609.698878,600,2249.587493
1596957.874505,600,2276.138774
1578910.74276,600,2292.728482
1582710.393169,600,2321.695034
1540907.886356,600,2348.34771
1550409.697821,600,2364.879862
1595058.650215,600,2381.448159
1549459.748268,600,2397.970851
1574157.849627,600,2436.874301
1587459.414413,600,2453.493252
1607411.857009,600,2470.032718
1591259.797489,600,2496.886664
1579857.058094,600,2513.41883
1623560.01241,600,2542.361947
1598858.106874,600,2558.900457
1576260.598754,600,2585.590789
1572258.695685,600,2602.198076
1595059.682702,600,2618.744461
1570361.323767,600,2657.780094
1602659.221382,600,2674.312083
1612159.425073,600,2690.824909
1594114.94113,600,2717.517387
1607410.172098,600,2734.053978
