#{"t_start": 1656657338.3090806, "env_id": "uav-v1"}
r,l,t
-350271.99143,600,16.468626
-916376.231261,600,32.825232
-908591.615745,600,49.178087
-813922.399625,600,75.720366
-421119.596251,600,92.157702
-102892.111169,600,120.924358
-424156.788165,600,147.5075
162634.353298,600,163.940254
184317.400269,600,180.368083
-411514.149244,600,196.796799
205432.953746,600,235.737338
237526.402021,600,252.157091
32660.477816,600,268.582602
-81659.103977,600,295.237114
351882.19819,600,311.656844
223575.837947,600,340.470818
257658.780395,600,356.914946
413289.891519,600,383.601501
288932.214049,600,400.031313
389581.810242,600,416.453852
457024.155148,600,455.404882
404974.497656,600,471.85491
531201.990016,600,488.27127
472353.122872,600,514.873412
607091.226613,600,531.290935
648853.824407,600,547.702864
604239.811719,600,576.424949
676463.895521,600,603.055639
737204.948863,600,619.465046
732454.643922,600,635.904583
691605.570751,600,662.521143
849314.109449,600,691.269019
725804.559886,600,707.674784
794204.278332,600,724.100495
920554.719256,600,750.677755
963304.649447,600,767.079794
1004173.3253,600,795.785311
955703.836097,600,822.381624
1093454.768333,600,838.823207
1083954.669326,600,855.22626
1021255.678382,600,881.803138
1143804.229379,600,910.606578
1066854.557794,600,927.018147
1145704.455,600,943.414438
1147604.543036,600,970.013772
1190355.127609,600,986.449515
1083004.584253,600,1015.170392
1232168.090201,600,1041.8396
1263504.729297,600,1058.310301
1273955.231271,600,1074.755097
1260654.573511,600,1091.182682
1314803.729592,600,1117.806176
1304355.651783,600,1146.588411
1285354.354244,600,1163.032944
1261822.749238,600,1189.658415
1352804.164656,600,1206.105346
1328105.101069,600,1222.516763
1336654.627884,600,1251.258521
1392705.760152,600,1277.877132
1330004.416376,600,1294.279535
1381304.775167,600,1310.672757
1308172.010865,600,1337.354728
1390804.503898,600,1366.073951
1429753.825215,600,1382.451365
1391754.456474,600,1409.071382
1412654.131571,600,1425.494226
1422155.212805,600,1441.923168
1383402.145136,600,1470.647894
1451604.054061,600,1497.263401
1465854.855951,600,1513.686527
1440204.693876,600,1530.095677
1465860.294042,600,1556.751912
1491504.458487,600,1585.505311
1482953.893489,600,1601.91241
1447804.181264,600,1618.30065
1463005.315647,600,1645.023722
1428804.151811,600,1661.444143
1468710.052146,600,1677.804766
1465900.475321,600,1716.775919
1468704.382959,600,1733.187153
1496280.752892,600,1749.599875
1523804.718044,600,1776.320814
1520954.245345,600,1792.773722
1504805.132626,600,1821.5074
1527605.715003,600,1837.900707
1524755.026483,600,1864.605326
1489604.039051,600,1881.019362
1512606.244475,600,1897.460259
1523804.61458,600,1936.552635
1550404.649866,600,1953.017216
1539955.015062,600,1969.433404
1523804.838423,600,1985.855735
1557054.491809,600,2012.642085
1568453.936125,600,2041.381621
1540905.640921,600,2057.77667
1477253.954161,600,2084.454015
1561804.549182,600,2100.903269
1541854.945067,600,2117.344397
1551354.032044,600,2156.337795
1572254.12902,600,2172.771524
1558003.974911,600,2189.20482
1578905.575978,600,2205.618513
1517153.218463,600,2232.399604
1554204.315143,600,2248.85426
1570356.337712,600,2277.608591
