#{"t_start": 1656657338.3161333, "env_id": "uav-v1"}
r,l,t
-440913.104436,600,16.478959
-581842.361,600,32.835495
-997714.634922,600,49.188404
-324570.505635,600,75.730939
-389827.691781,600,92.168161
-126533.952976,600,120.935013
-356883.044872,600,147.517996
151821.214462,600,163.950694
-309583.993059,600,180.378444
-323715.649583,600,196.807338
86934.652287,600,235.747952
96244.013618,600,252.167444
-16522.138939,600,268.59328
198103.160165,600,295.247635
189693.31239,600,311.670919
347743.233167,600,340.481478
269287.19756,600,356.927718
435114.531819,600,383.611907
401959.303383,600,400.041782
373648.049681,600,416.464489
331570.98134,600,455.417865
540581.451836,600,471.865185
527389.647427,600,488.281525
562833.381192,600,514.884151
641392.311638,600,531.303806
629879.440688,600,547.713262
577621.313833,600,576.437732
678401.354745,600,603.066364
708705.5702,600,619.477771
699224.415668,600,635.915083
798004.55479,600,662.531698
822771.450496,600,691.279446
910144.523763,600,707.685328
856922.661973,600,724.111805
976604.978427,600,750.688241
988954.769236,600,767.090296
833192.18943,600,795.796065
1019383.676915,600,822.39209
1070857.828002,600,838.833777
1059360.315994,600,855.236824
992755.087349,600,881.813745
1125754.617081,600,910.617018
1161854.211733,600,927.028663
1095354.392528,600,943.42532
1165655.525224,600,970.024545
1241654.231594,600,986.460172
1174219.891741,600,1015.181205
1189443.214162,600,1041.850225
1254043.957057,600,1058.321001
1262554.779199,600,1074.76551
1253056.2962,600,1091.193199
1249255.711062,600,1117.816917
1272054.436286,600,1146.598902
1314804.526564,600,1163.043385
1277754.610453,600,1189.669063
1350904.440734,600,1206.116218
1351855.323011,600,1222.527316
1368955.04622,600,1251.269201
1304352.920311,600,1277.887615
1362305.426423,600,1294.290143
1325253.708424,600,1310.683238
1404103.990792,600,1337.365436
1409805.616578,600,1366.084592
1403173.095541,600,1382.461999
1418354.911914,600,1409.083245
1414553.90385,600,1425.504818
1450680.82607,600,1441.93352
1461105.222877,600,1470.65837
1459204.726668,600,1497.274024
1424055.869791,600,1513.697238
1446853.743466,600,1530.106209
