#{"t_start": 1656657078.3792021, "env_id": "uav-v0"}
r,l,t
-104980.829131,600,18.11359
-363144.77912,600,35.149495
-129972.730583,600,52.462899
-151641.646654,600,81.466383
-669196.72152,600,99.108149
78760.870666,600,131.598418
22565.309558,600,161.379315
108600.251797,600,179.267429
118072.185119,600,197.171167
45844.359474,600,214.972738
129635.258057,600,255.725457
162154.764385,600,273.031729
244491.946628,600,290.471641
53472.741481,600,320.925905
287326.753783,600,338.940934
133191.158311,600,370.422284
227136.846987,600,387.694802
366008.562603,600,415.627124
400465.064692,600,432.773468
351045.188481,600,449.760851
367499.280861,600,491.859535
423187.149226,600,509.771775
386150.475975,600,527.784408
393975.413742,600,557.754987
440101.088616,600,575.673217
497910.215797,600,593.592982
486890.733379,600,624.168031
586957.744358,600,653.30578
603209.498818,600,670.571616
566178.98594,600,688.543751
605917.542366,600,718.445903
659759.221825,600,750.548153
604661.328529,600,768.440407
666258.498846,600,786.332844
723461.948313,600,814.450904
655208.846463,600,831.679824
710490.033048,600,862.212238
794332.319456,600,892.051956
816431.280321,600,909.935042
796259.801643,600,927.784992
828111.781624,600,957.53184
850210.235304,600,989.503052
863209.688897,600,1006.515312
850250.647448,600,1023.527431
854779.069544,600,1052.398475
902858.605226,600,1069.824832
917162.59839,600,1101.948436
904810.483408,600,1131.697709
926258.889212,600,1149.531915
939260.849723,600,1167.39875
939260.913249,600,1185.187583
943807.956806,600,1212.528333
958761.040228,600,1243.678622
962010.011272,600,1260.921429
971758.980298,600,1290.669397
978259.05307,600,1308.487711
969809.771166,600,1326.330277
985409.740577,600,1358.370585
1013359.444248,600,1387.85232
1007509.355865,600,1404.815517
1015971.528279,600,1421.918087
1001660.631075,600,1450.482967
986076.086671,600,1482.16957
999059.020337,600,1500.011612
1024409.704712,600,1529.80688
1050408.803795,600,1547.609778
1024409.705955,600,1565.435539
1019244.177731,600,1596.213965
1041309.019054,600,1624.311751
1033509.808617,600,1641.783752
1026358.831409,600,1658.94234
1059509.756496,600,1688.995149
1047807.838434,600,1721.197349
1079658.87401,600,1739.079386
1051059.80021,600,1756.947971
1077057.610107,600,1784.575736
1048458.247895,600,1802.047183
1086159.602764,600,1819.076356
1039357.88228,600,1862.605751
1053660.036027,600,1879.928188
1075107.615538,600,1897.00265
1064058.946109,600,1927.072516
1075114.147164,600,1944.866554
1086159.965382,600,1976.999127
1091358.972087,600,1994.841755
1059506.463927,600,2024.35986
1089411.729364,600,2041.346964
1104359.692968,600,2059.094563
1090707.083637,600,2101.595416
1069908.71423,600,2119.370908
1095908.294492,600,2137.239439
1088760.359866,600,2155.094954
1094610.995646,600,2184.862878
1092008.878033,600,2215.698999
1088109.457424,600,2232.718274
1105658.52691,600,2261.737915
1107610.883276,600,2279.145976
1088109.1543,600,2297.067293
1087459.85642,600,2341.309607
1094607.74247,600,2359.036806
1103709.40139,600,2376.853791
1105659.363781,600,2394.66181
1114760.67445,600,2422.744451
1093959.197199,600,2440.501153
1108257.304442,600,2470.872455
1099158.745645,600,2500.779989
1119307.980987,600,2518.526684
1117358.115233,600,2536.363213
1093309.975583,600,2554.204222
1119307.030916,600,2597.569031
1104359.124927,600,2614.590817
1107611.323174,600,2632.402904
1121932.807787,600,2660.852672
1107610.357397,600,2678.605115
1114109.306117,600,2710.678892
1130360.752329,600,2728.440188
1119958.930567,600,2758.416821
1109640.176352,600,2776.150657
1129057.95541,600,2793.077801
1134259.862749,600,2834.711202
1125162.265515,600,2851.851366
1109559.380068,600,2869.645428
1121911.459039,600,2899.832306
1140108.469968,600,2917.580459
1121259.679832,600,2935.365773
1131009.310002,600,2967.336712
1129059.607858,600,2995.398682
1127110.00959,600,3012.543379
1117359.621733,600,3029.996837
1136208.90115,600,3060.887507
1130359.727892,600,3093.727907
1126458.436576,600,3111.795667
1142058.681356,600,3129.150487
1127760.324909,600,3158.359483
1119959.768716,600,3175.852928
1110235.9561,600,3208.043486
1130359.752633,600,3238.239381
1143359.503655,600,3256.053352
1129061.120733,600,3273.862208
1136208.301362,600,3306.407929
1134907.206724,600,3336.579391
1144658.480806,600,3354.265648
1127108.62467,600,3371.395147
1119309.1586,600,3401.802177
1130441.319112,600,3419.60115
1142058.579921,600,3451.629427
1138811.651885,600,3481.923681
1140109.976408,600,3499.704313
1140111.389259,600,3516.647356
1134258.711141,600,3533.785283
1131008.246325,600,3563.656315
1131657.816112,600,3594.791014
1140759.50443,600,3612.540692
1132307.063689,600,3643.209455
1147909.616991,600,3661.090459
1142061.574209,600,3678.9332
1146609.746602,600,3711.038602
1140109.205914,600,3739.34402
1140760.511096,600,3757.139452
1141408.745851,600,3774.676904
1143357.714699,600,3804.836777
1127106.756783,600,3836.905286
1129708.8422,600,3854.85248
1133608.301234,600,3885.545427
1134259.788928,600,3903.326537
1131008.577069,600,3920.791436
1135561.346902,600,3950.729294
1140108.912348,600,3980.142759
1143361.142515,600,3997.371512
1141408.149066,600,4015.096218
1148562.26555,600,4045.2719
1153758.643598,600,4077.063946
1144660.332001,600,4094.826588
1142707.930448,600,4112.601424
1140108.432967,600,4141.500236
1142058.000971,600,4158.518994
1144008.160773,600,4176.042197
1138160.25689,600,4218.913891
1149208.879458,600,4236.725427
1139456.739843,600,4254.476602
1127761.649774,600,4284.935523
1148558.627153,600,4302.723598
1146616.546481,600,4334.2679
1146609.32985,600,4351.455769
1131659.86982,600,4381.474816
1155710.48786,600,4398.788965
1141408.616247,600,4416.449569
1141408.814736,600,4461.396075
1149860.033208,600,4479.193994
1149858.430145,600,4496.983318
1138812.267329,600,4514.785648
