#{"t_start": 1656657078.3814783, "env_id": "uav-v0"}
r,l,t
-487849.777994,600,18.117375
-629782.234597,600,35.153389
-731147.685559,600,52.467296
-678836.989736,600,81.470222
-80523.728031,600,99.112386
-12974.731281,600,131.602754
-81211.88793,600,161.383897
-38300.843122,600,179.271967
13353.373277,600,197.175533
-345305.037865,600,214.977458
36434.413018,600,255.729959
3482.11434,600,273.036345
208103.95551,600,290.476283
238770.872202,600,320.930374
190741.249379,600,338.945314
232059.610403,600,370.42592
256201.808899,600,387.699246
317905.107776,600,415.631548
300461.198245,600,432.777471
341940.106679,600,449.764569
342572.323955,600,491.864269
482328.509272,600,509.776713
431655.924232,600,527.78893
393259.101542,600,557.75944
500556.667114,600,575.677943
496623.836746,600,593.597477
462226.09806,600,624.171883
540159.91344,600,653.309832
586374.695801,600,670.575396
573958.833179,600,688.548411
585657.951265,600,718.450107
663010.067386,600,750.552753
647409.931747,600,768.445061
687085.365424,600,786.337447
692908.723005,600,814.454765
691610.010155,600,831.684479
713247.299702,600,862.21615
744260.364634,600,892.056469
828765.702817,600,909.939423
725408.732667,600,927.789451
848909.361724,600,957.536343
893109.050729,600,989.507769
840458.968978,600,1006.520148
846308.676189,600,1023.532105
861907.152693,600,1052.402445
926978.398075,600,1069.82918
854756.649395,600,1101.952887
897660.541089,600,1131.702159
945155.616548,600,1149.536353
908057.441038,600,1167.403257
932760.442558,600,1185.191536
960059.800262,600,1212.532383
962659.428807,600,1243.682472
991263.11889,600,1260.926148
1009475.792444,600,1290.673944
1011411.092842,600,1308.492105
979556.475568,600,1326.33484
974359.301073,600,1358.374939
949657.099999,600,1387.856079
1005558.318386,600,1404.81935
977608.504177,600,1421.922603
1002958.082628,600,1450.486791
1014008.041476,600,1482.174219
1023108.651391,600,1500.016297
1032208.605882,600,1529.81113
1056909.521497,600,1547.614189
1012065.532064,600,1565.439765
1045859.505679,600,1596.217703
1010109.128436,600,1624.316211
1041959.319748,600,1641.787578
996459.813197,600,1658.947019
1032208.123347,600,1688.999635
1049110.55665,600,1721.201958
1064709.093973,600,1739.08392
1048462.039577,600,1756.952399
1064059.071552,600,1784.579542
1053659.141979,600,1802.050951
1033013.208708,600,1819.080711
1068620.135554,600,1862.609701
1042608.246163,600,1879.931841
1078357.570128,600,1897.006422
1047158.240111,600,1927.076945
1075111.358727,600,1944.870891
1083558.412092,600,1977.003384
1078359.676626,600,1994.846198
1079006.959338,600,2024.363792
1081608.332599,600,2041.35094
1085508.496859,600,2059.098338
1101760.433799,600,2101.599858
1088108.991801,600,2119.375363
1091360.969863,600,2137.243897
1097858.585866,600,2155.09937
1100458.686221,600,2184.867296
1088759.156338,600,2215.702683
1078358.378448,600,2232.722035
1085508.1551,600,2261.742376
1092660.893466,600,2279.150597
1101107.460673,600,2297.072006
1103710.862381,600,2341.314008
1112160.965167,600,2359.04114
1092027.947924,600,2376.858284
1097857.560723,600,2394.665862
1107608.882914,600,2422.74826
1108259.719055,600,2440.505143
1110296.007814,600,2470.876939
1100459.562527,600,2500.784487
1115412.083856,600,2518.531333
1119959.209492,600,2536.367719
